"","Outcome, Arm","N","Absolute Mean","Absolute SD","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95%)","IPCW adjusted difference: Intervention vs. Control (95%)"
"45","Nutrition + WSH","267","0.56","3.75","0.16","1.13","0.15 (-0.05, 0.35)","0.15 (-0.05, 0.35)","0.22 (0.04, 0.4)","0.31 (0.08, 0.54)"
"46","Ln ΔIFN-γ/IL-5"," "," "," "," "," "," "," "," "," "
"47","Control","218","1.17","10.28","0.05","0.8"," "," "," "," "
"48","Nutrition + WSH","268","1.19","9.23","0.1","0.95","0.06 (-0.11, 0.23)","0.06 (-0.11, 0.23)","0.1 (-0.08, 0.27)","0.19 (-0.02, 0.39)"
"49","Ln ΔIL-12/IL-13"," "," "," "," "," "," "," "," "," "
"50","Control","216","0.09","1.41","-0.08","1"," "," "," "," "
"51","Nutrition + WSH","265","0.08","2.8","0.27","1.18","0.35 (0.14, 0.57)","0.37 (0.15, 0.59)","0.35 (0.12, 0.58)","0.38 (0.12, 0.64)"
"52","Ln ΔIFN-γ/IL-13"," "," "," "," "," "," "," "," "," "
"53","Control","216","0.46","6.99","-0.05","0.92"," "," "," "," "
"54","Nutrition + WSH","266","0.42","7.89","0.19","1.07","0.24 (0.03, 0.44)","0.23 (0.03, 0.43)","0.19 (0, 0.38)","0.16 (-0.08, 0.4)"
"55","Ln ΔIL-12/IL-17A"," "," "," "," "," "," "," "," "," "
"56","Control","218","0.11","0.78","0.08","0.75"," "," "," "," "
"57","Nutrition + WSH","267","-0.04","0.6","0","0.8","-0.08 (-0.23, 0.08)","-0.08 (-0.24, 0.08)","-0.1 (-0.25, 0.05)","-0.12 (-0.28, 0.04)"
"58","Ln ΔIFN-γ/IL-17A"," "," "," "," "," "," "," "," "," "
"59","Control","218","0.11","0.78","0.08","0.75"," "," "," "," "
"60","Nutrition + WSH","267","-0.04","0.6","0","0.8","-0.08 (-0.23, 0.08)","-0.08 (-0.24, 0.08)","-0.1 (-0.25, 0.05)","-0.12 (-0.28, 0.04)"
"61","Ln ΔIL-12/IL-21"," "," "," "," "," "," "," "," "," "
"62","Control","218","0.11","0.78","0.08","0.75"," "," "," "," "
"63","Nutrition + WSH","267","-0.04","0.6","0","0.8","-0.08 (-0.23, 0.08)","-0.08 (-0.24, 0.08)","-0.1 (-0.25, 0.05)","-0.12 (-0.28, 0.04)"
"64","Ln ΔIFN-γ/IL-21"," "," "," "," "," "," "," "," "," "
"65","Control","218","0.11","0.78","0.08","0.75"," "," "," "," "
"66","Nutrition + WSH","267","-0.04","0.6","0","0.8","-0.08 (-0.23, 0.08)","-0.08 (-0.24, 0.08)","-0.1 (-0.25, 0.05)","-0.12 (-0.28, 0.04)"
"67","Ln ΔPro-inflammatory cytokines/IL-10"," "," "," "," "," "," "," "," "," "
"68","Control","216"," "," ","0.56","0.86"," "," "," "," "
"69","Nutrition + WSH","265"," "," ","0.74","0.93","0.17 (-0.02, 0.36)","0.17 (-0.02, 0.36)","0.1 (-0.08, 0.28)","0.17 (-0.06, 0.4)"
"70","Ln ΔTh1/IL-10"," "," "," "," "," "," "," "," "," "
"71","Control","216"," "," ","0.27","0.85"," "," "," "," "
"72","Nutrition + WSH","265"," "," ","0.26","0.75","0 (-0.18, 0.18)","0.01 (-0.18, 0.19)","-0.02 (-0.2, 0.17)","0 (-0.2, 0.2)"
"73","Ln ΔTh2/IL-10"," "," "," "," "," "," "," "," "," "
"74","Control","215"," "," ","0.48","1.18"," "," "," "," "
"75","Nutrition + WSH","263"," "," ","0.24","1.24","-0.25 (-0.53, 0.04)","-0.25 (-0.53, 0.04)","-0.22 (-0.5, 0.05)","-0.22 (-0.57, 0.13)"
"76","Ln ΔTh17/IL-10"," "," "," "," "," "," "," "," "," "
"77","Control","208"," "," ","-0.43","1.41"," "," "," "," "
"78","Nutrition + WSH","257"," "," ","-0.63","1.49","-0.2 (-0.5, 0.11)","-0.19 (-0.48, 0.1)","-0.08 (-0.39, 0.22)","-0.06 (-0.35, 0.23)"
"79","Ln ΔTh1/Th2"," "," "," "," "," "," "," "," "," "
"80","Control","216"," "," ","-0.22","0.92"," "," "," "," "
"81","Nutrition + WSH","266"," "," ","0.02","1.07","0.24 (0.03, 0.44)","0.23 (0.03, 0.43)","0.19 (0, 0.38)","0.16 (-0.08, 0.4)"
"82","Ln ΔTh1/Th17"," "," "," "," "," "," "," "," "," "
"83","Control","210"," "," ","0.73","1.29"," "," "," "," "
"84","Nutrition + WSH","260"," "," ","0.9","1.38","0.17 (-0.12, 0.46)","0.17 (-0.12, 0.47)","0.05 (-0.29, 0.38)","0.02 (-0.31, 0.36)"
