"","Outcome, Arm","N","Absolute Mean","Absolute SD","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)"
"66","Nutrition + WSH","305","8.37","19.41","1.57","0.92","-0.1 (-0.29, 0.1)","-0.1 (-0.3, 0.1)","-0.03 (-0.24, 0.18)"
"67","Ln Pro-inflammatory cytokines/IL-10"," "," "," "," "," "," "," "," "
"68","Control","284"," "," ","0.4","0.69"," "," "," "
"69","Nutrition + WSH","310"," "," ","0.28","0.66","-0.12 (-0.23, -0.02)","-0.12 (-0.23, -0.01)","-0.11 (-0.22, 0)"
"70","Ln Th1/IL-10"," "," "," "," "," "," "," "," "
"71","Control","284"," "," ","0.39","0.57"," "," "," "
"72","Nutrition + WSH","310"," "," ","0.28","0.6","-0.11 (-0.22, 0)","-0.11 (-0.22, 0)","-0.08 (-0.19, 0.03)"
"73","Ln Th2/IL-10"," "," "," "," "," "," "," "," "
"74","Control","284"," "," ","-1.1","0.94"," "," "," "
"75","Nutrition + WSH","308"," "," ","-1.07","1","0.02 (-0.17, 0.22)","0.02 (-0.18, 0.21)","0.04 (-0.16, 0.24)"
"76","Ln Th17/IL-10"," "," "," "," "," "," "," "," "
"77","Control","281"," "," ","-0.17","1.05"," "," "," "
"78","Nutrition + WSH","304"," "," ","-0.18","1.01","-0.01 (-0.21, 0.19)","-0.02 (-0.22, 0.18)","-0.08 (-0.28, 0.13)"
"79","Ln Th1/Th2"," "," "," "," "," "," "," "," "
"80","Control","285"," "," ","1.48","0.77"," "," "," "
"81","Nutrition + WSH","308"," "," ","1.34","0.92","-0.14 (-0.3, 0.02)","-0.14 (-0.3, 0.01)","-0.14 (-0.3, 0.02)"
"82","Ln Th1/Th17"," "," "," "," "," "," "," "," "
"83","Control","282"," "," ","0.56","0.91"," "," "," "
"84","Nutrition + WSH","305"," "," ","0.46","0.92","-0.1 (-0.29, 0.1)","-0.1 (-0.3, 0.1)","-0.03 (-0.24, 0.18)"
