"","Outcome, Arm","N","Absolute Mean","Absolute SD","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)"
"19","Ln IL-5/IL-10"," "," "," "," "," "," "," "," "
"20","Control","312","0.26","0.26","-1.63","0.79"," "," "," "
"21","Nutrition + WSH","363","0.33","0.99","-1.68","0.84","-0.05 (-0.19, 0.09)","-0.05 (-0.19, 0.09)","-0.09 (-0.23, 0.05)"
"22","Ln IL-13/IL-10"," "," "," "," "," "," "," "," "
"23","Control","311","1.13","1.89","-0.44","1.04"," "," "," "
"24","Nutrition + WSH","362","0.87","1.9","-0.65","0.98","-0.21 (-0.44, 0.01)","-0.21 (-0.44, 0.01)","-0.19 (-0.4, 0.01)"
"25","Ln IL-17A/IL-10"," "," "," "," "," "," "," "," "
"26","Control","312","0.68","0.59","-0.57","0.61"," "," "," "
"27","Nutrition + WSH","363","0.71","1.04","-0.65","0.69","-0.08 (-0.18, 0.03)","-0.05 (-0.17, 0.06)","-0.04 (-0.15, 0.07)"
"28","Ln IL-21/IL-10"," "," "," "," "," "," "," "," "
"29","Control","307","0.34","0.62","-1.65","1.06"," "," "," "
"30","Nutrition + WSH","358","0.43","1.56","-1.83","1.21","-0.19 (-0.4, 0.03)","-0.19 (-0.4, 0.03)","-0.16 (-0.37, 0.05)"
"31","Ln IL-2/IL-10"," "," "," "," "," "," "," "," "
"32","Control","309","0.2","0.54","-2.25","1.09"," "," "," "
"33","Nutrition + WSH","357","0.36","2.69","-2.44","1.35","-0.19 (-0.43, 0.06)","-0.16 (-0.4, 0.09)","-0.15 (-0.4, 0.09)"
"34","Ln GM-CSF/IL-10"," "," "," "," "," "," "," "," "
"35","Control","312","18.88","22.62","2.53","0.92"," "," "," "
"36","Nutrition + WSH","363","22.27","35.78","2.55","1.02","0.02 (-0.16, 0.2)","0.05 (-0.14, 0.24)","0.03 (-0.14, 0.2)"
"37","Ln IL-12/IL-4"," "," "," "," "," "," "," "," "
"38","Control","313","0.06","0.02","-3.01","0.52"," "," "," "
"39","Nutrition + WSH","367","0.06","0.03","-2.91","0.57","0.1 (-0.02, 0.21)","0.1 (-0.02, 0.21)","0.1 (-0.01, 0.21)"
"40","Ln IFN-Î³/IL-4"," "," "," "," "," "," "," "," "
"41","Control","313","0.18","0.12","-1.89","0.58"," "," "," "
"42","Nutrition + WSH","367","0.18","0.09","-1.83","0.53","0.06 (-0.05, 0.16)","0.06 (-0.05, 0.16)","0.07 (-0.04, 0.17)"
"43","Ln IL-12/IL-5"," "," "," "," "," "," "," "," "
"44","Control","313","2.53","4.89","0.5","0.83"," "," "," "
"45","Nutrition + WSH","367","2.14","3.36","0.43","0.81","-0.07 (-0.23, 0.09)","-0.07 (-0.23, 0.09)","-0.03 (-0.18, 0.13)"
"46","Ln IFN-Î³/IL-5"," "," "," "," "," "," "," "," "
"47","Control","313","8.44","19.1","1.62","0.86"," "," "," "
"48","Nutrition + WSH","367","6.4","9.42","1.51","0.78","-0.11 (-0.26, 0.05)","-0.11 (-0.26, 0.05)","-0.06 (-0.21, 0.1)"
"49","Ln IL-12/IL-13"," "," "," "," "," "," "," "," "
"50","Control","311","0.83","1.56","-0.69","0.93"," "," "," "
"51","Nutrition + WSH","366","0.93","1.96","-0.61","0.92","0.08 (-0.11, 0.28)","0.08 (-0.11, 0.28)","0.07 (-0.1, 0.25)"
"52","Ln IFN-Î³/IL-13"," "," "," "," "," "," "," "," "
"53","Control","311","2.76","7.25","0.43","0.92"," "," "," "
"54","Nutrition + WSH","366","2.77","5.96","0.47","0.89","0.04 (-0.16, 0.25)","0.05 (-0.16, 0.25)","0.04 (-0.14, 0.22)"
"55","Ln IL-12/IL-17A"," "," "," "," "," "," "," "," "
"56","Control","313","0.69","0.78","-0.56","0.6"," "," "," "
"57","Nutrition + WSH","367","0.61","0.42","-0.61","0.5","-0.05 (-0.15, 0.06)","-0.05 (-0.15, 0.06)","-0.06 (-0.15, 0.04)"
"58","Ln IFN-Î³/IL-17A"," "," "," "," "," "," "," "," "
"59","Control","313","2.16","3.34","0.56","0.58"," "," "," "
"60","Nutrition + WSH","367","1.9","2.1","0.47","0.54","-0.09 (-0.19, 0.02)","-0.09 (-0.19, 0.02)","-0.07 (-0.18, 0.03)"
"61","Ln IL-12/IL-21"," "," "," "," "," "," "," "," "
"62","Control","308","3.06","6.18","0.52","1"," "," "," "
"63","Nutrition + WSH","362","3.37","6.05","0.57","1.14","0.05 (-0.18, 0.28)","0.05 (-0.18, 0.28)","0.03 (-0.18, 0.24)"
"64","Ln IFN-Î³/IL-21"," "," "," "," "," "," "," "," "
"65","Control","308","10.26","23.31","1.64","1.05"," "," "," "
"66","Nutrition + WSH","362","9.92","18.41","1.66","1.1","0.02 (-0.22, 0.25)","0.02 (-0.22, 0.25)","0.02 (-0.21, 0.26)"
"67","Ln Pro-inflammatory cytokines*/IL-10"," "," "," "," "," "," "," "," "
"68","Control","312"," "," ","0.97","0.65"," "," "," "
"69","Nutrition + WSH","363"," "," ","0.97","0.77","9.31 (-68.37, 86.98)","9.31 (-68.37, 86.98)","15.17 (-66.28, 96.62)"
"70","Ln Th1**/IL-10"," "," "," "," "," "," "," "," "
"71","Control","312"," "," ","0.67","0.57"," "," "," "
"72","Nutrition + WSH","363"," "," ","0.5","0.62","-8.91 (-41.6, 23.78)","-8.91 (-41.6, 23.78)","-4.32 (-32.43, 23.8)"
"73","Ln Th2***/IL-10"," "," "," "," "," "," "," "," "
"74","Control","311"," "," ","-0.63","1.04"," "," "," "
"75","Nutrition + WSH","362"," "," ","-0.85","0.98","-18.84 (-64.93, 27.25)","-18.84 (-64.93, 27.25)","-14.17 (-53.34, 25)"
"76","Ln Th17****/IL-10"," "," "," "," "," "," "," "," "
"77","Control","307"," "," ","-0.65","1.06"," "," "," "
"78","Nutrition + WSH","358"," "," ","-0.83","1.21","-16.93 (-42.41, 8.56)","-16.93 (-42.41, 8.56)","-11.6 (-29.03, 5.84)"
"79","Ln Th1**/Th2***"," "," "," "," "," "," "," "," "
"80","Control","311"," "," ","1.3","0.92"," "," "," "
"81","Nutrition + WSH","366"," "," ","1.34","0.89","0.29 (-1.76, 2.35)","0.29 (-1.76, 2.35)","0.41 (-1.71, 2.54)"
"82","Ln Th1**/Th17****"," "," "," "," "," "," "," "," "
"83","Control","308"," "," ","1.31","1.05"," "," "," "
"84","Nutrition + WSH","362"," "," ","1.33","1.1","1.22 (-1.62, 4.06)","1.21 (-1.64, 4.05)","1.77 (-1.87, 5.41)"
