"","Outcome, Arm","N","Absolute Mean","V4","abssdtbl5","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","IPCW adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)","ipcws7"
"49","Ln IL-12/IL-13"," "," ","Absolute SD"," "," "," "," "," "," "," "
"50","Control","311","0.83","Absolute SD","1.56","-0.69","0.93"," "," "," "," "
"51","Nutrition + WSH","366","0.93","Absolute SD","1.96","-0.61","0.92","0.08 (-0.11, 0.28)","0.08 (-0.11, 0.28)","0.07 (-0.1, 0.25)","0.04 (-0.21, 0.28)"
"52","Ln IFN-γ/IL-13"," "," ","Absolute SD"," "," "," "," "," "," "," "
"53","Control","311","2.76","Absolute SD","7.25","0.43","0.92"," "," "," "," "
"54","Nutrition + WSH","366","2.77","Absolute SD","5.96","0.47","0.89","0.04 (-0.16, 0.25)","0.05 (-0.16, 0.25)","0.04 (-0.14, 0.22)","-0.02 (-0.22, 0.19)"
"55","Ln IL-12/IL-17A"," "," ","Absolute SD"," "," "," "," "," "," "," "
"56","Control","313","0.69","Absolute SD","0.78","-0.56","0.6"," "," "," "," "
"57","Nutrition + WSH","367","0.61","Absolute SD","0.42","-0.61","0.5","-0.05 (-0.15, 0.06)","-0.05 (-0.15, 0.06)","-0.06 (-0.15, 0.04)","-0.01 (-0.13, 0.12)"
"58","Ln IFN-γ/IL-17A"," "," ","Absolute SD"," "," "," "," "," "," "," "
"59","Control","313","2.16","Absolute SD","3.34","0.56","0.58"," "," "," "," "
"60","Nutrition + WSH","367","1.9","Absolute SD","2.1","0.47","0.54","-0.09 (-0.19, 0.02)","-0.09 (-0.19, 0.02)","-0.07 (-0.18, 0.03)","-0.03 (-0.16, 0.09)"
"61","Ln IL-12/IL-21"," "," ","Absolute SD"," "," "," "," "," "," "," "
"62","Control","308","3.06","Absolute SD","6.18","0.52","1"," "," "," "," "
"63","Nutrition + WSH","362","3.37","Absolute SD","6.05","0.57","1.14","0.05 (-0.18, 0.28)","0.05 (-0.18, 0.28)","0.03 (-0.18, 0.24)","0.11 (-0.2, 0.43)"
"64","Ln IFN-γ/IL-21"," "," ","Absolute SD"," "," "," "," "," "," "," "
"65","Control","308","10.26","Absolute SD","23.31","1.64","1.05"," "," "," "," "
"66","Nutrition + WSH","362","9.92","Absolute SD","18.41","1.66","1.1","0.02 (-0.22, 0.25)","0.02 (-0.22, 0.25)","0.02 (-0.21, 0.26)","0.01 (-0.3, 0.32)"
"67","Ln Pro-inflammatory cytokines*/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"68","Control","312"," ","Absolute SD"," ","-27.07","649.74"," "," "," "," "
"69","Nutrition + WSH","360"," ","Absolute SD"," ","-17.76","262.35","9.31 (-68.37, 86.98)","9.31 (-68.37, 86.98)","15.17 (-66.28, 96.62)","10.12 (-61.01, 81.25)"
"70","Ln Th1**/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"71","Control","312"," ","Absolute SD"," ","-3.34","210.24"," "," "," "," "
"72","Nutrition + WSH","363"," ","Absolute SD"," ","-12.25","217.37","-8.91 (-41.6, 23.78)","-8.91 (-41.6, 23.78)","-4.32 (-32.43, 23.8)","-7.12 (-36.05, 21.81)"
"73","Ln Th2***/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"74","Control","311"," ","Absolute SD"," ","27.6","376.24"," "," "," "," "
"75","Nutrition + WSH","362"," ","Absolute SD"," ","8.76","180.56","-18.84 (-64.93, 27.25)","-18.84 (-64.93, 27.25)","-14.17 (-53.34, 25)","-7.83 (-36.34, 20.68)"
"76","Ln Th17****/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"77","Control","307"," ","Absolute SD"," ","4.75","66.29"," "," "," "," "
"78","Nutrition + WSH","358"," ","Absolute SD"," ","-12.18","240.09","-16.93 (-42.41, 8.56)","-16.93 (-42.41, 8.56)","-11.6 (-29.03, 5.84)","-11.84 (-37.14, 13.47)"
"79","Ln Th1**/Th2***"," "," ","Absolute SD"," "," "," "," "," "," "," "
"80","Control","311"," ","Absolute SD"," ","0.37","17.38"," "," "," "," "
"81","Nutrition + WSH","366"," ","Absolute SD"," ","0.67","3.01","0.29 (-1.76, 2.35)","0.29 (-1.76, 2.35)","0.41 (-1.71, 2.54)","0.64 (-1.53, 2.82)"
"82","Ln Th1**/Th17****"," "," ","Absolute SD"," "," "," "," "," "," "," "
"83","Control","308"," ","Absolute SD"," ","0.47","18.66"," "," "," "," "
"84","Nutrition + WSH","362"," ","Absolute SD"," ","1.69","19.07","1.22 (-1.62, 4.06)","1.21 (-1.64, 4.05)","1.77 (-1.87, 5.41)","1.87 (-1.84, 5.58)"
