"","Outcome, Arm","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)"
"54","Nutrition + WSH","-0.06(-0.23, 0.12)","-0.05(-0.22, 0.13)","-0.03(-0.18, 0.12)"
"55","Ln IL-12/IL-17A"," "," "," "
"56","Control"," "," "," "
"57","Nutrition + WSH","0.04(-0.06, 0.14)","0.04(-0.06, 0.14)","0.04(-0.05, 0.13)"
"58","Ln IFN-gamma/IL-17A"," "," "," "
"59","Control"," "," "," "
"60","Nutrition + WSH","0.02(-0.09, 0.13)","0.02(-0.09, 0.13)","0.02(-0.08, 0.13)"
"61","Ln IL-12/IL-21"," "," "," "
"62","Control"," "," "," "
"63","Nutrition + WSH","0.17(-0.05, 0.38)","0.17(-0.05, 0.38)","0.17(-0.02, 0.37)"
"64","Ln IFN-gamma/IL-21"," "," "," "
"65","Control"," "," "," "
"66","Nutrition + WSH","0.15(-0.06, 0.35)","0.15(-0.06, 0.35)","0.15(-0.05, 0.36)"
"67","Ln Pro-inflammatory cytokines*/IL-10"," "," "," "
"68","Control"," "," "," "
"69","Nutrition + WSH","20.47(-53.28, 94.21)","20.47(-53.28, 94.21)","21.28(-53.23, 95.79)"
"70","Ln Th1**/IL-10"," "," "," "
"71","Control"," "," "," "
"72","Nutrition + WSH","3.71(-28.34, 35.76)","3.71(-28.34, 35.76)","4.76(-27.12, 36.63)"
"73","Ln Th2***/IL-10"," "," "," "
"74","Control"," "," "," "
"75","Nutrition + WSH","-34.75(-77.94, 8.44)","-34.75(-77.94, 8.44)","-33.48(-76.86, 9.9)"
"76","Ln Th17****/IL-10"," "," "," "
"77","Control"," "," "," "
"78","Nutrition + WSH","9.95(-17.71, 37.61)","9.95(-17.71, 37.61)","11.48(-18.29, 41.26)"
"79","Ln Th1**/Th2***"," "," "," "
"80","Control"," "," "," "
"81","Nutrition + WSH","1.14(-0.73, 3.01)","1.14(-0.73, 3.01)","1.08(-0.71, 2.87)"
"82","Ln Th1**/Th17****"," "," "," "
"83","Control"," "," "," "
"84","Nutrition + WSH","2.12(-0.62, 4.85)","1.95(-0.62, 4.53)","2.19(-0.76, 5.14)"
