"","Outcome, Arm","N","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)"
"63","Nutrition + WSH","286","0.52","0.98","0.03 (-0.16, 0.23)","0.03 (-0.17, 0.23)","0.02 (-0.18, 0.22)"
"64","Ln IFN-<U+03B3>/IL-21"," "," "," "," "," "," "
"65","Control","302","1.61","0.91"," "," "," "
"66","Nutrition + WSH","286","1.63","0.91","0.02 (-0.14, 0.19)","0.02 (-0.15, 0.19)","0.04 (-0.13, 0.22)"
"67","Ln Pro-inflammatory cytokines*/IL-10"," "," "," "," "," "," "
"68","Control","300","10.06","120.05"," "," "," "
"69","Nutrition + WSH","291","-7.34","105.86","-17.41 (-35.22, 0.41)","-19.92 (-40.85, 1)","-20.22 (-41.59, 1.14)"
"70","Ln Th1**/IL-10"," "," "," "," "," "," "
"71","Control","302","-2.33","68.97"," "," "," "
"72","Nutrition + WSH","292","1.26","22.58","3.59 (-4.73, 11.92)","4.44 (-5.66, 14.54)","4.49 (-5.85, 14.83)"
"73","Ln Th2***/IL-10"," "," "," "," "," "," "
"74","Control","301","-8.6","197.54"," "," "," "
"75","Nutrition + WSH","291","4.13","46.55","12.74 (-10.24, 35.71)","15.38 (-12.83, 43.58)","14.85 (-12.77, 42.46)"
"76","Ln Th17****/IL-10"," "," "," "," "," "," "
"77","Control","300","-8.82","159.29"," "," "," "
"78","Nutrition + WSH","286","2.21","80.48","11.03 (-9.52, 31.57)","13.55 (-10.33, 37.44)","13.04 (-10.86, 36.93)"
"79","Ln Th1**/Th2***"," "," "," "," "," "," "
"80","Control","301","1.02","7.23"," "," "," "
"81","Nutrition + WSH","291","0.87","8.29","-0.15 (-1.49, 1.19)","-0.17 (-1.54, 1.2)","-0.1 (-1.42, 1.21)"
"82","Ln Th1**/Th17****"," "," "," "," "," "," "
"83","Control","301","11.06","184.71"," "," "," "
"84","Nutrition + WSH","286","-0.67","20.72","-11.73 (-34.68, 11.23)","-11.93 (-35.22, 11.36)","-8.16 (-25.17, 8.85)"
