"","Outcome, Arm","N","Absolute Mean","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)"
"25","Ln IL-17A/IL-10"," "," "," "," "," "," "," "
"26","Control","331","-0.57","-0.57","0.64"," "," "," "
"27","Nutrition + WSH","344","-0.65","-0.65","0.66","-0.08 (-0.18, 0.02)","-0.06 (-0.16, 0.04)","-0.05 (-0.14, 0.04)"
"28","Ln IL-21/IL-10"," "," "," "," "," "," "," "
"29","Control","329","-1.64","-1.64","1.11"," "," "," "
"30","Nutrition + WSH","336","-1.85","-1.85","1.18","-0.21 (-0.42, 0.01)","-0.21 (-0.42, 0.01)","-0.18 (-0.39, 0.02)"
"31","Ln IL-2/IL-10"," "," "," "," "," "," "," "
"32","Control","325","-2.24","-2.24","1.21"," "," "," "
"33","Nutrition + WSH","341","-2.46","-2.46","1.26","-0.22 (-0.47, 0.02)","-0.2 (-0.45, 0.05)","-0.2 (-0.45, 0.05)"
"34","Ln GM-CSF/IL-10"," "," "," "," "," "," "," "
"35","Control","331","2.58","2.58","1.02"," "," "," "
"36","Nutrition + WSH","344","2.5","2.5","0.93","-0.08 (-0.26, 0.09)","-0.07 (-0.25, 0.11)","-0.09 (-0.24, 0.07)"
"37","Ln IL-12/IL-4"," "," "," "," "," "," "," "
"38","Control","336","-2.99","-2.99","0.6"," "," "," "
"39","Nutrition + WSH","344","-2.92","-2.92","0.5","0.08 (-0.04, 0.19)","0.08 (-0.04, 0.19)","0.08 (-0.03, 0.19)"
"40","Ln IFN-γ/IL-4"," "," "," "," "," "," "," "
"41","Control","336","-1.89","-1.89","0.58"," "," "," "
"42","Nutrition + WSH","344","-1.83","-1.83","0.53","0.06 (-0.05, 0.16)","0.06 (-0.05, 0.16)","0.06 (-0.05, 0.16)"
"43","Ln IL-12/IL-5"," "," "," "," "," "," "," "
"44","Control","336","0.43","0.43","0.85"," "," "," "
"45","Nutrition + WSH","344","0.5","0.5","0.78","0.07 (-0.09, 0.24)","0.07 (-0.09, 0.24)","0.07 (-0.09, 0.24)"
"46","Ln IFN-γ/IL-5"," "," "," "," "," "," "," "
"47","Control","336","1.53","1.53","0.83"," "," "," "
"48","Nutrition + WSH","344","1.59","1.59","0.81","0.05 (-0.1, 0.21)","0.05 (-0.1, 0.21)","0.05 (-0.1, 0.2)"
"49","Ln IL-12/IL-13"," "," "," "," "," "," "," "
"50","Control","335","-0.63","-0.63","1"," "," "," "
"51","Nutrition + WSH","342","-0.67","-0.67","0.85","-0.04 (-0.21, 0.14)","-0.03 (-0.21, 0.15)","-0.01 (-0.17, 0.15)"
"52","Ln IFN-γ/IL-13"," "," "," "," "," "," "," "
"53","Control","335","0.48","0.48","0.96"," "," "," "
"54","Nutrition + WSH","342","0.42","0.42","0.84","-0.06 (-0.23, 0.12)","-0.05 (-0.22, 0.13)","-0.03 (-0.18, 0.12)"
"55","Ln IL-12/IL-17A"," "," "," "," "," "," "," "
"56","Control","336","-0.61","-0.61","0.55"," "," "," "
"57","Nutrition + WSH","344","-0.57","-0.57","0.55","0.04 (-0.06, 0.14)","0.04 (-0.06, 0.14)","0.04 (-0.05, 0.13)"
"58","Ln IFN-γ/IL-17A"," "," "," "," "," "," "," "
"59","Control","336","0.5","0.5","0.58"," "," "," "
"60","Nutrition + WSH","344","0.52","0.52","0.54","0.02 (-0.09, 0.13)","0.02 (-0.09, 0.13)","0.02 (-0.08, 0.13)"
"61","Ln IL-12/IL-21"," "," "," "," "," "," "," "
"62","Control","334","0.47","0.47","1.08"," "," "," "
"63","Nutrition + WSH","336","0.63","0.63","1.07","0.17 (-0.05, 0.38)","0.17 (-0.05, 0.38)","0.17 (-0.02, 0.37)"
"64","Ln IFN-γ/IL-21"," "," "," "," "," "," "," "
"65","Control","334","1.57","1.57","1.06"," "," "," "
"66","Nutrition + WSH","336","1.72","1.72","1.08","0.15 (-0.06, 0.35)","0.15 (-0.06, 0.35)","0.15 (-0.05, 0.36)"
"67","Ln Pro-inflammatory cytokines*/IL-10"," "," "," "," "," "," "," "
"68","Control","329","-32.53","-32.53","655.75"," "," "," "
"69","Nutrition + WSH","343","-12.06","-12.06","208.76","20.47 (-53.28, 94.21)","20.47 (-53.28, 94.21)","21.28 (-53.23, 95.79)"
"70","Ln Th1**/IL-10"," "," "," "," "," "," "," "
"71","Control","331","-10.02","-10.02","240.88"," "," "," "
"72","Nutrition + WSH","344","-6.31","-6.31","184.81","3.71 (-28.34, 35.76)","3.71 (-28.34, 35.76)","4.76 (-27.12, 36.63)"
"73","Ln Th2***/IL-10"," "," "," "," "," "," "," "
"74","Control","331","35.12","35.12","395.33"," "," "," "
"75","Nutrition + WSH","342","0.38","0.38","107.43","-34.75 (-77.94, 8.44)","-34.75 (-77.94, 8.44)","-33.48 (-76.86, 9.9)"
"76","Ln Th17****/IL-10"," "," "," "," "," "," "," "
"77","Control","329","-9.39","-9.39","256.93"," "," "," "
"78","Nutrition + WSH","336","0.56","0.56","30.1","9.95 (-17.71, 37.61)","9.95 (-17.71, 37.61)","11.48 (-18.29, 41.26)"
"79","Ln Th1**/Th2***"," "," "," "," "," "," "," "
"80","Control","335","-0.04","-0.04","14.99"," "," "," "
"81","Nutrition + WSH","342","1.1","1.1","7.98","1.14 (-0.73, 3.01)","1.14 (-0.73, 3.01)","1.08 (-0.71, 2.87)"
"82","Ln Th1**/Th17****"," "," "," "," "," "," "," "
"83","Control","334","0.06","0.06","12.92"," "," "," "
"84","Nutrition + WSH","336","2.18","2.18","23.31","2.12 (-0.62, 4.85)","1.95 (-0.62, 4.53)","2.19 (-0.76, 5.14)"
