"","Outcome, Arm","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95%)","IPCW adjusted difference: Intervention vs. Control (95%)"
"45","Nutrition + WSH","0.07(-0.15, 0.3)","0.06(-0.17, 0.28)","0.03(-0.19, 0.26)","0.09(-0.22, 0.41)"
"46","Ln delta IFN-g/IL-5"," "," "," "," "
"47","Control"," "," "," "," "
"48","Nutrition + WSH","0.06(-0.13, 0.25)","0.05(-0.15, 0.25)","0(-0.19, 0.19)","0.06(-0.19, 0.32)"
"49","Ln delta IL-12/IL-13"," "," "," "," "
"50","Control"," "," "," "," "
"51","Nutrition + WSH","0.01(-0.23, 0.25)","0.03(-0.22, 0.28)","0.05(-0.19, 0.28)","-0.13(-0.39, 0.13)"
"52","Ln delta IFN-g/IL-13"," "," "," "," "
"53","Control"," "," "," "," "
"54","Nutrition + WSH","0.03(-0.18, 0.24)","0.03(-0.2, 0.25)","0.02(-0.18, 0.23)","-0.07(-0.29, 0.15)"
"55","Ln delta IL-12/IL-17A"," "," "," "," "
"56","Control"," "," "," "," "
"57","Nutrition + WSH","0(-0.16, 0.16)","0(-0.16, 0.16)","0(-0.15, 0.15)","-0.01(-0.16, 0.14)"
"58","Ln delta IFN-g/IL-17A"," "," "," "," "
"59","Control"," "," "," "," "
"60","Nutrition + WSH","0(-0.16, 0.16)","0(-0.16, 0.16)","0(-0.15, 0.15)","-0.01(-0.16, 0.14)"
"61","Ln delta IL-12/IL-21"," "," "," "," "
"62","Control"," "," "," "," "
"63","Nutrition + WSH","0(-0.16, 0.16)","0(-0.16, 0.16)","0(-0.15, 0.15)","-0.01(-0.16, 0.14)"
"64","Ln delta IFN-g/IL-21"," "," "," "," "
"65","Control"," "," "," "," "
"66","Nutrition + WSH","0(-0.16, 0.16)","0(-0.16, 0.16)","0(-0.15, 0.15)","-0.01(-0.16, 0.14)"
"67","Ln delta Pro-inflammatory cytokines*/IL-10"," "," "," "," "
"68","Control"," "," "," "," "
"69","Nutrition + WSH","6.73(-44.6, 58.07)","16.86(-35.24, 68.97)","21.7(-30.96, 74.36)","21.09(-38.07, 80.25)"
"70","Ln delta Th1**/IL-10"," "," "," "," "
"71","Control"," "," "," "," "
"72","Nutrition + WSH","-14.63(-53.63, 24.38)","-10.17(-47.28, 26.94)","-4.62(-39.29, 30.04)","2.01(-38.15, 42.17)"
"73","Ln delta Th2***/IL-10"," "," "," "," "
"74","Control"," "," "," "," "
"75","Nutrition + WSH","-60.42(-125.12, 4.27)","-61.27(-126.55, 4.01)","-56.72(-120.08, 6.65)","-28.61(-61.1, 3.88)"
"76","Ln delta Th17****/IL-10"," "," "," "," "
"77","Control"," "," "," "," "
"78","Nutrition + WSH","4.69(-40.69, 50.06)","8.86(-38.86, 56.59)","15.43(-41.26, 72.12)","23.86(-27.14, 74.86)"
"79","Ln delta Th1**/Th2***"," "," "," "," "
"80","Control"," "," "," "," "
"81","Nutrition + WSH","2.36(-0.68, 5.39)","2.43(-0.66, 5.51)","2.16(-0.65, 4.97)","2.21(-0.82, 5.24)"
"82","Ln delta Th1**/Th17****"," "," "," "," "
"83","Control"," "," "," "," "
"84","Nutrition + WSH","15.9(-12.75, 44.54)","16.04(-12.91, 44.99)","7.2(-6.97, 21.36)","11.64(-28.76, 52.04)"
