"","Outcome, Arm","N","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)"
"51","Nutrition + WSH"," ","-0.03(-0.18, 0.13)","-0.02(-0.18, 0.14)","-0.03(-0.19, 0.13)"
"52","Ln IFN-gamma/IL-13"," "," "," "," "
"53","Control"," "," "," "," "
"54","Nutrition + WSH"," ","-0.04(-0.18, 0.1)","-0.03(-0.18, 0.11)","-0.01(-0.16, 0.13)"
"55","Ln IL-12/IL-17A"," "," "," "," "
"56","Control"," "," "," "," "
"57","Nutrition + WSH"," ","0.06(-0.03, 0.15)","0.06(-0.03, 0.16)","0.06(-0.03, 0.15)"
"58","Ln IFN-gamma/IL-17A"," "," "," "," "
"59","Control"," "," "," "," "
"60","Nutrition + WSH"," ","0.06(-0.05, 0.17)","0.07(-0.04, 0.18)","0.09(-0.01, 0.19)"
"61","Ln IL-12/IL-21"," "," "," "," "
"62","Control"," "," "," "," "
"63","Nutrition + WSH"," ","0.03(-0.16, 0.23)","0.03(-0.17, 0.23)","0.02(-0.18, 0.22)"
"64","Ln IFN-gamma/IL-21"," "," "," "," "
"65","Control"," "," "," "," "
"66","Nutrition + WSH"," ","0.02(-0.14, 0.19)","0.02(-0.15, 0.19)","0.04(-0.13, 0.22)"
"67","Ln Pro-inflammatory cytokines*/IL-10"," "," "," "," "
"68","Control"," "," "," "," "
"69","Nutrition + WSH"," ","-17.41(-35.22, 0.41)","-19.92(-40.85, 1)","-20.22(-41.59, 1.14)"
"70","Ln Th1**/IL-10"," "," "," "," "
"71","Control"," "," "," "," "
"72","Nutrition + WSH"," ","3.59(-4.73, 11.92)","4.44(-5.66, 14.54)","4.49(-5.85, 14.83)"
"73","Ln Th2***/IL-10"," "," "," "," "
"74","Control"," "," "," "," "
"75","Nutrition + WSH"," ","12.74(-10.24, 35.71)","15.38(-12.83, 43.58)","14.85(-12.77, 42.46)"
"76","Ln Th17****/IL-10"," "," "," "," "
"77","Control"," "," "," "," "
"78","Nutrition + WSH"," ","11.03(-9.52, 31.57)","13.55(-10.33, 37.44)","13.04(-10.86, 36.93)"
"79","Ln Th1**/Th2***"," "," "," "," "
"80","Control"," "," "," "," "
"81","Nutrition + WSH"," ","-0.15(-1.49, 1.19)","-0.17(-1.54, 1.2)","-0.1(-1.42, 1.21)"
"82","Ln Th1**/Th17****"," "," "," "," "
"83","Control"," "," "," "," "
"84","Nutrition + WSH"," ","-11.73(-34.68, 11.23)","-11.93(-35.22, 11.36)","-8.16(-25.17, 8.85)"
