"","Outcome, Arm","N","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)","IPCW adjusted difference: Intervention vs. Control (95% CI)"
"24","Nutrition + WSH","308","-0.61","1","0.02 (-0.17, 0.22)","0.02 (-0.18, 0.21)","0.04 (-0.16, 0.24)","0.08 (-0.11, 0.26)"
"25","Ln IL-17A/IL-10"," "," "," "," "," "," "," "
"26","Control","284","-0.62","0.63"," "," "," "," "
"27","Nutrition + WSH","310","-0.78","0.67","-0.16 (-0.29, -0.03)","-0.18 (-0.31, -0.04)","-0.2 (-0.34, -0.06)","0.01 (-0.12, 0.14)"
"28","Ln IL-21/IL-10"," "," "," "," "," "," "," "
"29","Control","281","-1.86","1.05"," "," "," "," "
"30","Nutrition + WSH","304","-1.87","1.01","-0.01 (-0.21, 0.19)","-0.02 (-0.22, 0.18)","-0.08 (-0.28, 0.13)","-0.07 (-0.29, 0.14)"
"31","Ln IL-2/IL-10"," "," "," "," "," "," "," "
"32","Control","282","-2.65","1.19"," "," "," "," "
"33","Nutrition + WSH","303","-2.65","1.25","0 (-0.26, 0.25)","0.01 (-0.24, 0.27)","-0.12 (-0.39, 0.15)","-0.09 (-0.39, 0.2)"
"34","Ln GM-CSF/IL-10"," "," "," "," "," "," "," "
"35","Control","284","1.89","0.99"," "," "," "," "
"36","Nutrition + WSH","310","1.73","0.96","-0.16 (-0.32, 0.01)","-0.1 (-0.29, 0.09)","-0.13 (-0.3, 0.05)","-0.12 (-0.3, 0.05)"
"37","Ln IL-12/IL-4"," "," "," "," "," "," "," "
"38","Control","285","-2.89","0.5"," "," "," "," "
"39","Nutrition + WSH","309","-3.08","0.66","-0.18 (-0.31, -0.06)","-0.18 (-0.31, -0.06)","-0.18 (-0.29, -0.07)","-0.07 (-0.22, 0.08)"
"40","Ln IFN-γ/IL-4"," "," "," "," "," "," "," "
"41","Control","285","-1.82","0.45"," "," "," "," "
"42","Nutrition + WSH","310","-1.93","0.55","-0.11 (-0.2, -0.01)","-0.11 (-0.2, -0.01)","-0.08 (-0.18, 0.02)","-0.03 (-0.16, 0.11)"
"43","Ln IL-12/IL-5"," "," "," "," "," "," "," "
"44","Control","285","0.49","0.65"," "," "," "," "
"45","Nutrition + WSH","310","0.22","0.77","-0.27 (-0.41, -0.13)","-0.26 (-0.41, -0.11)","-0.23 (-0.38, -0.09)","0.07 (-0.06, 0.21)"
"46","Ln IFN-γ/IL-5"," "," "," "," "," "," "," "
"47","Control","285","1.56","0.62"," "," "," "," "
"48","Nutrition + WSH","311","1.37","0.68","-0.19 (-0.32, -0.06)","-0.17 (-0.32, -0.02)","-0.15 (-0.29, 0)","0.09 (-0.04, 0.21)"
"49","Ln IL-12/IL-13"," "," "," "," "," "," "," "
"50","Control","285","-0.63","0.82"," "," "," "," "
"51","Nutrition + WSH","307","-0.85","0.95","-0.22 (-0.39, -0.05)","-0.22 (-0.39, -0.05)","-0.23 (-0.4, -0.06)","0.02 (-0.16, 0.2)"
"52","Ln IFN-γ/IL-13"," "," "," "," "," "," "," "
"53","Control","285","0.44","0.77"," "," "," "," "
"54","Nutrition + WSH","308","0.3","0.92","-0.14 (-0.3, 0.02)","-0.14 (-0.3, 0.01)","-0.14 (-0.3, 0.02)","-0.02 (-0.17, 0.13)"
"55","Ln IL-12/IL-17A"," "," "," "," "," "," "," "
"56","Control","285","-0.64","0.45"," "," "," "," "
"57","Nutrition + WSH","310","-0.66","0.6","-0.02 (-0.12, 0.08)","-0.01 (-0.12, 0.09)","0.02 (-0.09, 0.12)","0.07 (-0.03, 0.17)"
"58","Ln IFN-γ/IL-17A"," "," "," "," "," "," "," "
"59","Control","285","0.43","0.48"," "," "," "," "
"60","Nutrition + WSH","311","0.49","0.52","0.06 (-0.07, 0.18)","0.06 (-0.06, 0.19)","0.08 (-0.04, 0.19)","0.04 (-0.06, 0.14)"
"61","Ln IL-12/IL-21"," "," "," "," "," "," "," "
"62","Control","282","0.6","0.96"," "," "," "," "
"63","Nutrition + WSH","304","0.42","1.08","-0.19 (-0.4, 0.03)","-0.19 (-0.41, 0.03)","-0.11 (-0.36, 0.13)","0.06 (-0.18, 0.29)"
"64","Ln IFN-γ/IL-21"," "," "," "," "," "," "," "
"65","Control","282","1.67","0.91"," "," "," "," "
"66","Nutrition + WSH","305","1.57","0.92","-0.1 (-0.29, 0.1)","-0.1 (-0.3, 0.1)","-0.03 (-0.24, 0.18)","0.08 (-0.13, 0.28)"
"67","Ln Pro-inflammatory cytokines*/IL-10"," "," "," "," "," "," "," "
"68","Control","284","-8.39","187.36"," "," "," "," "
"69","Nutrition + WSH","306","1.99","22.08","10.38 (-11.48, 32.25)","10.69 (-11.94, 33.32)","12.39 (-9.95, 34.73)","-23.13 (-49.51, 3.24)"
"70","Ln Th1**/IL-10"," "," "," "," "," "," "," "
"71","Control","284","0.71","41.45"," "," "," "," "
"72","Nutrition + WSH","309","1.44","16.42","0.73 (-4.23, 5.68)","0.75 (-4.36, 5.86)","0.79 (-4.46, 6.04)","2.11 (-3.93, 8.15)"
"73","Ln Th2***/IL-10"," "," "," "," "," "," "," "
"74","Control","284","3.03","102.27"," "," "," "," "
"75","Nutrition + WSH","307","1.88","15.44","-1.15 (-12.72, 10.42)","-1.21 (-13.19, 10.78)","-4.08 (-14.29, 6.14)","10.13 (-4.99, 25.24)"
"76","Ln Th17****/IL-10"," "," "," "," "," "," "," "
"77","Control","281","-1.95","101.92"," "," "," "," "
"78","Nutrition + WSH","304","1.61","20.61","3.56 (-8.54, 15.66)","6.79 (-11.42, 25)","0.57 (-7.56, 8.7)","8.07 (-7.28, 23.43)"
"79","Ln Th1**/Th2***"," "," "," "," "," "," "," "
"80","Control","285","0.06","8.79"," "," "," "," "
"81","Nutrition + WSH","306","1.33","6.25","1.27 (0.11, 2.44)","1.3 (0.11, 2.5)","1.25 (0.04, 2.45)","0.67 (-0.68, 2.01)"
"82","Ln Th1**/Th17****"," "," "," "," "," "," "," "
"83","Control","282","74.7","1259.81"," "," "," "," "
"84","Nutrition + WSH","304","-0.37","18.12","-75.08 (-223.61, 73.45)","-77.82 (-231.68, 76.04)","-20.22 (-82.55, 42.11)","-21.16 (-92.94, 50.63)"
